20230509,00:04:10,UNIFYBroker,Logging Engine,Information,Log file started.,Minimal
20230509,00:04:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:04:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:04:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:04:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:04:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:04:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:04:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.0947463. ",Normal
20230509,00:04:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1728776",Normal
20230509,00:05:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Staff Connector started.",Normal
20230509,00:05:16,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Staff Connector.",Normal
20230509,00:05:16,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Staff Connector reported 0 changes. Duration: 00:00:00",Normal
20230509,00:05:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Staff Connector returned 0 possible changes. Duration: 00:00:00.2667452",Normal
20230509,00:06:22,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Student Connector started.",Normal
20230509,00:06:22,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Student Connector.",Normal
20230509,00:06:22,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Student Connector reported 0 changes. Duration: 00:00:00",Normal
20230509,00:06:22,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Student Connector returned 0 possible changes. Duration: 00:00:00.2979293",Normal
20230509,00:09:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:09:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:09:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:09:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:09:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:09:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:09:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.0781279. ",Normal
20230509,00:09:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1250085",Normal
20230509,00:14:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:14:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:14:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:14:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:14:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:14:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:14:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.0781263. ",Normal
20230509,00:14:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1250067",Normal
20230509,00:15:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Staff Connector started.",Normal
20230509,00:15:16,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Staff Connector.",Normal
20230509,00:15:16,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Staff Connector reported 0 changes. Duration: 00:00:00",Normal
20230509,00:15:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Staff Connector returned 0 possible changes. Duration: 00:00:00.2667331",Normal
20230509,00:19:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:19:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:19:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:19:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:19:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:19:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:19:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.0781310. ",Normal
20230509,00:19:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1250085",Normal
20230509,00:24:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:24:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:24:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:24:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:24:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:24:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:24:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.0781285. ",Normal
20230509,00:24:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1250091",Normal
20230509,00:25:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Staff Connector started.",Normal
20230509,00:25:16,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Staff Connector.",Normal
20230509,00:25:16,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Staff Connector reported 1 changes. Duration: 00:00:00",Normal
20230509,00:25:16,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector CEnet Staff Connector (page 1)",Normal
20230509,00:25:16,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector CEnet Staff Connector processed 1 entities, finding 0 differences. Duration: 00:00:00.0781309. ",Normal
20230509,00:25:16,UNIFYBroker,Connector Processor,Information,"Connector Post Processing started.
Connector Post Processing started - checking for deleted entities in connector CEnet Staff Connector. Processed Entities: 1",Normal
20230509,00:25:16,UNIFYBroker,Connector Processor,Information,"Connector Post Processing success.
Connector Post Processing completed checking for deletes for connector CEnet Staff Connector. Processed Entities: 1. Matching Entities: 0. Reported Changes: 0. Duration: 00:00:00",Normal
20230509,00:25:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Staff Connector returned 1 possible changes. Duration: 00:00:00.4748441",Normal
20230509,00:29:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:29:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:29:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00.0156247] duration.,Normal
20230509,00:29:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:29:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:29:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:29:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.1562651. ",Normal
20230509,00:29:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.2343983",Normal
20230509,00:33:37,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector MIM School Sites started.",Normal
20230509,00:33:37,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector MIM School Sites.",Normal
20230509,00:33:37,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector MIM School Sites return 45 entities. Duration: 00:00:00",Normal
20230509,00:33:37,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector MIM School Sites (page 1)",Normal
20230509,00:33:37,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector MIM School Sites processed 45 entities, finding 0 differences. Duration: 00:00:00.1093854. ",Normal
20230509,00:33:37,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector MIM School Sites completed. Duration: 00:00:00.4858306",Normal
20230509,00:34:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:34:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:34:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:34:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:34:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:34:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:34:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.0937594. ",Normal
20230509,00:34:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1406382",Normal
20230509,00:35:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Staff Connector started.",Normal
20230509,00:35:16,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Staff Connector.",Normal
20230509,00:35:16,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Staff Connector reported 0 changes. Duration: 00:00:00",Normal
20230509,00:35:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Staff Connector returned 0 possible changes. Duration: 00:00:00.2500632",Normal
20230509,00:36:22,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Student Connector started.",Normal
20230509,00:36:22,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Student Connector.",Normal
20230509,00:36:22,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Student Connector reported 0 changes. Duration: 00:00:00",Normal
20230509,00:36:22,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector CEnet Student Connector returned 0 possible changes. Duration: 00:00:00.2668120",Normal
20230509,00:39:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:39:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:39:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:39:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:39:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:39:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:39:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.1562625. ",Normal
20230509,00:39:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.2359517",Normal
20230509,00:44:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector SAS2IDM School Promoted Status started.",Normal
20230509,00:44:10,UNIFYBroker,GetAllEntities,Information,Started successfully.,Normal
20230509,00:44:10,UNIFYBroker,GetAllEntities,Information,Completed successfully after [00:00:00] duration.,Normal
20230509,00:44:10,UNIFYBroker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector SAS2IDM School Promoted Status.",Normal
20230509,00:44:10,UNIFYBroker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM School Promoted Status return 44 entities. Duration: 00:00:00",Normal
20230509,00:44:10,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM School Promoted Status (page 1)",Normal
20230509,00:44:10,UNIFYBroker,Connector Processor,Information,"Connector processing success.
0 entities in cumulative total. Current processing of page 1 for connector SAS2IDM School Promoted Status processed 44 entities, finding 0 differences. Duration: 00:00:00.1253934. ",Normal
20230509,00:44:10,UNIFYBroker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM School Promoted Status completed. Duration: 00:00:00.1878991",Normal
20230509,00:45:16,UNIFYBroker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector CEnet Staff Connector started.",Normal
20230509,00:45:16,UNIFYBroker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector CEnet Staff Connector.",Normal
20230509,00:45:16,UNIFYBroker,Connector,Information,"Import changes from connector completed.
Import changes from connector CEnet Staff Connector reported 1 changes. Duration: 00:00:00",Normal
20230509,00:45:16,UNIFYBroker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector CEnet Staff Connector (page 1)",Normal
