DEPTID,PHRIS NAME RESOLUTION,AD DEPT VALUE,UPN SUFFIX
10000,Director of Schools Office,Director of Schools Office,@dbb.catholic.edu.au
100000,Catholic Schools Office,Catholic Schools Office,@dbb.catholic.edu.au
10013,Office of the Director,Office of the Director,@dbb.catholic.edu.au
100015,CSO BB Off Dir School Review,Office of the Director School Review,@dbb.catholic.edu.au
100008,CSO BB Office of Director,Office of the Director,@dbb.catholic.edu.au
100009,CSO BB Risk Management,Office of the Director Risk Management,@dbb.catholic.edu.au
100010,CSO BB Knowledge Management,Office of the Director Knowledge Management,@dbb.catholic.edu.au
100033,CSO BB Strategic Support,Office of the Director Strategic Support,@dbb.catholic.edu.au
10001,Administration,Administration,@dbb.org.au
10004,ICLT,ICLT,@dbb.org.au
100023,CSO BB ICLT Administration,ICLT Administration,@dbb.org.au
100024,CSO BB ICLT Infrastructure,ICLT Infrastructure,@dbb.org.au
100025,CSO BB ICLT Data Centre,ICLT Data Centre,@dbb.org.au
100026,CSO BB ICLT Service Desk,ICLT Service Desk,@dbb.org.au
100027,CSO BB ICLT Projects,ICLT Projects,@dbb.org.au
100028,CSO BB ICLT Field Staff,ICLT Field Staff,@dbb.org.au
10005,Human Resource Services,Human Resource Services,@dbb.catholic.edu.au
100040,CSO BB HR Workforce Administration,HR Workforce Administration,@dbb.catholic.edu.au
100039,CSO BB HR PHRIS,HR PHRIS,@dbb.catholic.edu.au
100001,CSO BB Human Resources,Human Resources,@dbb.catholic.edu.au
100030,CSO BB HR Payroll,HR Payroll,@dbb.catholic.edu.au
100002,CSO BB HR OHS & Injury Management,HR OHS & Injury Management,@dbb.catholic.edu.au
100003,CSO BB HR Industrial Retains,HR Industrial Retains,@dbb.catholic.edu.au
100004,CSO BB HR Perfromance Management,HR Perfromance Management,@dbb.catholic.edu.au
100005,CSO BB HR Child Protection,HR Child Protection,@dbb.catholic.edu.au
100006,CSO BB HR Recruitment,HR Recruitment,@dbb.catholic.edu.au
100007,CSO BB HR NSW IT,HR NSW IT,@dbb.catholic.edu.au
10006,Financial Services,Financial Services,@dbb.catholic.edu.au
100029,CSO BB Financial Serv Admin,Financial Services Admin,@dbb.catholic.edu.au
